,Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
0,200507.0,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,27271.0
1,200507.0,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,29131.0
2,200507.0,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,5415.0
3,200507.0,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,Terminal 1,B,35156.0
4,200507.0,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,Terminal 1,B,34090.0
5,200507.0,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,6263.0
6,200507.0,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5500.0
7,200507.0,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,12050.0
8,200507.0,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,11638.0
9,200507.0,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,4998.0
10,200507.0,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,4962.0
11,200507.0,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,International,A,8055.0
12,200507.0,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,International,A,7984.0
13,200507.0,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,36641.0
14,200507.0,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,39379.0
15,200507.0,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,International,A,3678.0
16,200507.0,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Other,International,A,7977.0
17,200507.0,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Other,International,A,8837.0
18,200507.0,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,6969.0
19,200507.0,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,10046.0
20,200507.0,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,2266.0
21,200507.0,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6545.0
22,200507.0,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6094.0
23,200507.0,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,166577.0
24,200507.0,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,160890.0
25,200507.0,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,5493.0
26,200507.0,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,5213.0
27,200507.0,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,5041.0
28,200507.0,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,4744.0
29,200507.0,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,1552.0
30,200507.0,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,1484.0
31,200507.0,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,325.0
32,200507.0,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Enplaned,Other,International,A,545.0
33,200507.0,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,20632.0
34,200507.0,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,21686.0
35,200507.0,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,11010.0
36,200507.0,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,9628.0
37,200507.0,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,13638.0
38,200507.0,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,11255.0
39,200507.0,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,97510.0
