1,6/17/75,Opus 1,1
2,7/21/76,Here Goes,2
3,12/14/81,Valiant Knight,3
4,1/12/82,Little Piece,4
5,3/13/85,Simple Song,5
6,4/14/86,Little Swing Song,6
7,5/13/87,Fast Journey,7
8,2/14/76,Simple Love Song,8
9,1/21/82,Complex Rythms,9
10,2/23/85,Drumming Rythms,9
11,3/18/78,Fast Drumming,8
12,8/13/84,Slow Song,7
13,9/14/68,Blue Roses,6
14,11/15/83,Velvet Rain,5
15,5/16/82,Cold Wind,4
16,6/18/83,After the Wind Blows,3
17,,A Simple Piece,2
18,1/12/85,Long Rythms,1
19,2/12/88,Eastern Wind,1
20,,Slow Symphony Blowing,2
21,7/12/90,A Last Song,6
