1,2,violin,classical
2,4,viola,classical
3,6,banjo,jazz
4,8,violin,classical
5,12,guitar,jazz
6,14,violin,classical
7,16,trumpet,jazz
8,18,viola,classical
9,20,bass,jazz
10,2,flute,jazz
11,20,cornet,jazz
12,6,violin,jazz
13,8,drums,jazz
14,10,violin,classical
15,12,cello,classical
16,14,viola,classical
17,16,flute,jazz
18,18,guitar,not known
19,20,trombone,jazz
20,3,horn,jazz
21,5,violin,jazz
22,7,cello,classical
23,2,bass,jazz
24,4,violin,jazz
25,6,drums,classical
26,8,clarinet,jazz
27,10,bass,jazz
28,12,viola,classical
29,18,cello,classical
